#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     2.500000000e+08     1.000000000e+09     8.332717456e+04     1.500000000e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     2     1.635852741e+28     2.502500834e+08     1.000000000e+09     8.307760914e+04     1.501500500e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     3     3.270071534e+28     2.505001667e+08     1.000000000e+09     8.282903933e+04     1.503001000e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     4     4.902659642e+28     2.507502501e+08     1.000000000e+09     8.258146017e+04     1.504501501e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     5     6.533620316e+28     2.510003334e+08     1.000000000e+09     8.233486672e+04     1.506002001e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     6     8.162956795e+28     2.512504168e+08     1.000000000e+09     8.208925409e+04     1.507502501e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     7     9.790672313e+28     2.515005002e+08     1.000000000e+09     8.184461740e+04     1.509003001e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     8     1.141677009e+29     2.517505835e+08     1.000000000e+09     8.160095181e+04     1.510503501e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
     9     1.304125334e+29     2.520006669e+08     1.000000000e+09     8.135825251e+04     1.512004001e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    10     1.466412527e+29     2.522507503e+08     1.000000000e+09     8.111651471e+04     1.513504502e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    11     1.628538906e+29     2.525008336e+08     1.000000000e+09     8.087573366e+04     1.515005002e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    12     1.790504791e+29     2.527509170e+08     1.000000000e+09     8.063590462e+04     1.516505502e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    13     1.952310499e+29     2.530010003e+08     1.000000000e+09     8.039702290e+04     1.518006002e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    14     2.113956346e+29     2.532510837e+08     1.000000000e+09     8.015908382e+04     1.519506502e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    15     2.275442647e+29     2.535011671e+08     1.000000000e+09     7.992208274e+04     1.521007002e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    16     2.436769718e+29     2.537512504e+08     1.000000000e+09     7.968601504e+04     1.522507503e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    17     2.597937873e+29     2.540013338e+08     1.000000000e+09     7.945087613e+04     1.524008003e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    18     2.758947423e+29     2.542514171e+08     1.000000000e+09     7.921666145e+04     1.525508503e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    19     2.919798681e+29     2.545015005e+08     1.000000000e+09     7.898336646e+04     1.527009003e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    20     3.080491957e+29     2.547515839e+08     1.000000000e+09     7.875098665e+04     1.528509503e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
