#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     2.500000000e+08     1.000000000e+09     7.347585508e+04     1.500000000e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     2     1.442454752e+28     2.502500834e+08     1.000000000e+09     7.325579443e+04     1.501500500e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     3     2.883468730e+28     2.505001667e+08     1.000000000e+09     7.303661168e+04     1.503001000e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     4     4.323044809e+28     2.507502501e+08     1.000000000e+09     7.281830246e+04     1.504501501e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     5     5.761185856e+28     2.510003334e+08     1.000000000e+09     7.260086242e+04     1.506002001e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     6     7.197894729e+28     2.512504168e+08     1.000000000e+09     7.238428723e+04     1.507502501e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     7     8.633174278e+28     2.515005002e+08     1.000000000e+09     7.216857261e+04     1.509003001e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     8     1.006702734e+29     2.517505835e+08     1.000000000e+09     7.195371428e+04     1.510503501e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     9     1.149945676e+29     2.520006669e+08     1.000000000e+09     7.173970800e+04     1.512004001e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    10     1.293046535e+29     2.522507503e+08     1.000000000e+09     7.152654955e+04     1.513504502e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    11     1.436005593e+29     2.525008336e+08     1.000000000e+09     7.131423473e+04     1.515005002e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    12     1.578823130e+29     2.527509170e+08     1.000000000e+09     7.110275938e+04     1.516505502e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    13     1.721499427e+29     2.530010003e+08     1.000000000e+09     7.089211935e+04     1.518006002e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    14     1.864034763e+29     2.532510837e+08     1.000000000e+09     7.068231052e+04     1.519506502e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    15     2.006429416e+29     2.535011671e+08     1.000000000e+09     7.047332879e+04     1.521007002e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    16     2.148683663e+29     2.537512504e+08     1.000000000e+09     7.026517009e+04     1.522507503e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    17     2.290797782e+29     2.540013338e+08     1.000000000e+09     7.005783038e+04     1.524008003e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    18     2.432772047e+29     2.542514171e+08     1.000000000e+09     6.985130563e+04     1.525508503e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    19     2.574606734e+29     2.545015005e+08     1.000000000e+09     6.964559184e+04     1.527009003e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    20     2.716302117e+29     2.547515839e+08     1.000000000e+09     6.944068503e+04     1.528509503e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    21     2.857858469e+29     2.550016672e+08     1.000000000e+09     6.923658125e+04     1.530010003e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    22     2.999276063e+29     2.552517506e+08     1.000000000e+09     6.903327658e+04     1.531510504e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    23     3.140555171e+29     2.555018339e+08     1.000000000e+09     6.883076709e+04     1.533011004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    24     3.281696063e+29     2.557519173e+08     1.000000000e+09     6.862904892e+04     1.534511504e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    25     3.422699011e+29     2.560020007e+08     1.000000000e+09     6.842811820e+04     1.536012004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    26     3.563564282e+29     2.562520840e+08     1.000000000e+09     6.822797108e+04     1.537512504e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    27     3.704292146e+29     2.565021674e+08     1.000000000e+09     6.802860376e+04     1.539013004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    28     3.844882871e+29     2.567522508e+08     1.000000000e+09     6.783001244e+04     1.540513505e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    29     3.985336724e+29     2.570023341e+08     1.000000000e+09     6.763219334e+04     1.542014005e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    30     4.125653970e+29     2.572524175e+08     1.000000000e+09     6.743514272e+04     1.543514505e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    31     4.265834876e+29     2.575025008e+08     1.000000000e+09     6.723885686e+04     1.545015005e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    32     4.405879706e+29     2.577525842e+08     1.000000000e+09     6.704333203e+04     1.546515505e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    33     4.545788723e+29     2.580026676e+08     1.000000000e+09     6.684856457e+04     1.548016005e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    34     4.685562192e+29     2.582527509e+08     1.000000000e+09     6.665455079e+04     1.549516506e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    35     4.825200374e+29     2.585028343e+08     1.000000000e+09     6.646128708e+04     1.551017006e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    36     4.964703532e+29     2.587529176e+08     1.000000000e+09     6.626876979e+04     1.552517506e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    37     5.104071925e+29     2.590030010e+08     1.000000000e+09     6.607699533e+04     1.554018006e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    38     5.243305815e+29     2.592530844e+08     1.000000000e+09     6.588596013e+04     1.555518506e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    39     5.382405460e+29     2.595031677e+08     1.000000000e+09     6.569566062e+04     1.557019006e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    40     5.521371119e+29     2.597532511e+08     1.000000000e+09     6.550609326e+04     1.558519507e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    41     5.660203051e+29     2.600033344e+08     1.000000000e+09     6.531725455e+04     1.560020007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    42     5.798901511e+29     2.602534178e+08     1.000000000e+09     6.512914097e+04     1.561520507e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    43     5.937466757e+29     2.605035012e+08     1.000000000e+09     6.494174905e+04     1.563021007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    44     6.075899044e+29     2.607535845e+08     1.000000000e+09     6.475507535e+04     1.564521507e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    45     6.214198627e+29     2.610036679e+08     1.000000000e+09     6.456911640e+04     1.566022007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    46     6.352365760e+29     2.612537513e+08     1.000000000e+09     6.438386881e+04     1.567522508e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    47     6.490400697e+29     2.615038346e+08     1.000000000e+09     6.419932917e+04     1.569023008e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    48     6.628303691e+29     2.617539180e+08     1.000000000e+09     6.401549411e+04     1.570523508e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    49     6.766074993e+29     2.620040013e+08     1.000000000e+09     6.383236026e+04     1.572024008e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    50     6.903714855e+29     2.622540847e+08     1.000000000e+09     6.364992428e+04     1.573524508e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    51     7.041223527e+29     2.625041681e+08     1.000000000e+09     6.346818285e+04     1.575025008e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    52     7.178601259e+29     2.627542514e+08     1.000000000e+09     6.328713268e+04     1.576525509e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    53     7.315848300e+29     2.630043348e+08     1.000000000e+09     6.310677047e+04     1.578026009e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
