#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     1.851851852e+08     1.000000000e+09     2.972152456e+05     1.500000000e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     2     3.477422692e+28     1.854568807e+08     1.000000000e+09     2.959108917e+05     1.502200734e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     3     6.949754665e+28     1.857285762e+08     1.000000000e+09     2.946141590e+05     1.504401467e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     4     1.041701080e+29     1.860002717e+08     1.000000000e+09     2.933249920e+05     1.506602201e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     5     1.387920592e+29     1.862719672e+08     1.000000000e+09     2.920433354e+05     1.508802934e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     6     1.733635477e+29     1.865436627e+08     1.000000000e+09     2.907691348e+05     1.511003668e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     7     2.078847205e+29     1.868153582e+08     1.000000000e+09     2.895023359e+05     1.513204401e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     8     2.423557238e+29     1.870870537e+08     1.000000000e+09     2.882428852e+05     1.515405135e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
     9     2.767767032e+29     1.873587492e+08     1.000000000e+09     2.869907293e+05     1.517605869e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    10     3.111478036e+29     1.876304447e+08     1.000000000e+09     2.857458157e+05     1.519806602e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    11     3.454691695e+29     1.879021402e+08     1.000000000e+09     2.845080919e+05     1.522007336e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    12     3.797409445e+29     1.881738357e+08     1.000000000e+09     2.832775061e+05     1.524208069e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    13     4.139632718e+29     1.884455312e+08     1.000000000e+09     2.820540070e+05     1.526408803e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    14     4.481362938e+29     1.887172267e+08     1.000000000e+09     2.808375437e+05     1.528609537e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    15     4.822601524e+29     1.889889222e+08     1.000000000e+09     2.796280655e+05     1.530810270e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    16     5.163349888e+29     1.892606177e+08     1.000000000e+09     2.784255226e+05     1.533011004e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    17     5.503609438e+29     1.895323132e+08     1.000000000e+09     2.772298651e+05     1.535211737e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    18     5.843381573e+29     1.898040087e+08     1.000000000e+09     2.760410440e+05     1.537412471e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    19     6.182667688e+29     1.900757042e+08     1.000000000e+09     2.748590104e+05     1.539613204e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    20     6.521469171e+29     1.903473998e+08     1.000000000e+09     2.736837159e+05     1.541813938e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    21     6.859787405e+29     1.906190953e+08     1.000000000e+09     2.725151126e+05     1.544014672e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    22     7.197623766e+29     1.908907908e+08     1.000000000e+09     2.713531530e+05     1.546215405e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    23     7.534979626e+29     1.911624863e+08     1.000000000e+09     2.701977899e+05     1.548416139e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    24     7.871856349e+29     1.914341818e+08     1.000000000e+09     2.690489765e+05     1.550616872e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    25     8.208255293e+29     1.917058773e+08     1.000000000e+09     2.679066665e+05     1.552817606e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    26     8.544177814e+29     1.919775728e+08     1.000000000e+09     2.667708140e+05     1.555018339e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    27     8.879625257e+29     1.922492683e+08     1.000000000e+09     2.656413733e+05     1.557219073e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    28     9.214598965e+29     1.925209638e+08     1.000000000e+09     2.645182994e+05     1.559419807e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    29     9.549100274e+29     1.927926593e+08     1.000000000e+09     2.634015473e+05     1.561620540e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    30     9.883130515e+29     1.930643548e+08     1.000000000e+09     2.622910728e+05     1.563821274e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    31     1.021669101e+30     1.933360503e+08     1.000000000e+09     2.611868316e+05     1.566022007e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    32     1.054978308e+30     1.936077458e+08     1.000000000e+09     2.600887803e+05     1.568222741e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    33     1.088240805e+30     1.938794413e+08     1.000000000e+09     2.589968754e+05     1.570423474e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    34     1.121456721e+30     1.941511368e+08     1.000000000e+09     2.579110740e+05     1.572624208e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    35     1.154626187e+30     1.944228323e+08     1.000000000e+09     2.568313335e+05     1.574824942e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    36     1.187749333e+30     1.946945278e+08     1.000000000e+09     2.557576117e+05     1.577025675e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    37     1.220826288e+30     1.949662233e+08     1.000000000e+09     2.546898667e+05     1.579226409e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    38     1.253857180e+30     1.952379188e+08     1.000000000e+09     2.536280570e+05     1.581427142e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    39     1.286842138e+30     1.955096143e+08     1.000000000e+09     2.525721414e+05     1.583627876e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    40     1.319781290e+30     1.957813098e+08     1.000000000e+09     2.515220790e+05     1.585828610e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    41     1.352674762e+30     1.960530053e+08     1.000000000e+09     2.504778294e+05     1.588029343e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    42     1.385522681e+30     1.963247008e+08     1.000000000e+09     2.494393524e+05     1.590230077e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    43     1.418325173e+30     1.965963963e+08     1.000000000e+09     2.484066081e+05     1.592430810e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    44     1.451082363e+30     1.968680918e+08     1.000000000e+09     2.473795571e+05     1.594631544e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    45     1.483794376e+30     1.971397873e+08     1.000000000e+09     2.463581602e+05     1.596832277e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    46     1.516461337e+30     1.974114828e+08     1.000000000e+09     2.453423785e+05     1.599033011e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    47     1.549083370e+30     1.976831783e+08     1.000000000e+09     2.443321734e+05     1.601233745e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    48     1.581660598e+30     1.979548738e+08     1.000000000e+09     2.433275068e+05     1.603434478e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    49     1.614193144e+30     1.982265694e+08     1.000000000e+09     2.423283408e+05     1.605635212e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    50     1.646681131e+30     1.984982649e+08     1.000000000e+09     2.413346378e+05     1.607835945e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    51     1.679124679e+30     1.987699604e+08     1.000000000e+09     2.403463604e+05     1.610036679e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    52     1.711523912e+30     1.990416559e+08     1.000000000e+09     2.393634717e+05     1.612237412e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    53     1.743878949e+30     1.993133514e+08     1.000000000e+09     2.383859351e+05     1.614438146e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    54     1.776189911e+30     1.995850469e+08     1.000000000e+09     2.374137141e+05     1.616638880e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    55     1.808456918e+30     1.998567424e+08     1.000000000e+09     2.364467727e+05     1.618839613e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    56     1.840680089e+30     2.001284379e+08     1.000000000e+09     2.354850750e+05     1.621040347e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    57     1.872859543e+30     2.004001334e+08     1.000000000e+09     2.345285857e+05     1.623241080e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    58     1.904995400e+30     2.006718289e+08     1.000000000e+09     2.335772693e+05     1.625441814e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    59     1.937087776e+30     2.009435244e+08     1.000000000e+09     2.326310912e+05     1.627642548e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    60     1.969136789e+30     2.012152199e+08     1.000000000e+09     2.316900165e+05     1.629843281e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    61     2.001142557e+30     2.014869154e+08     1.000000000e+09     2.307540110e+05     1.632044015e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    62     2.033105195e+30     2.017586109e+08     1.000000000e+09     2.298230405e+05     1.634244748e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    63     2.065024821e+30     2.020303064e+08     1.000000000e+09     2.288970712e+05     1.636445482e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    64     2.096901548e+30     2.023020019e+08     1.000000000e+09     2.279760696e+05     1.638646215e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    65     2.128735494e+30     2.025736974e+08     1.000000000e+09     2.270600025e+05     1.640846949e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    66     2.160526772e+30     2.028453929e+08     1.000000000e+09     2.261488368e+05     1.643047683e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    67     2.192275496e+30     2.031170884e+08     1.000000000e+09     2.252425398e+05     1.645248416e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    68     2.223981781e+30     2.033887839e+08     1.000000000e+09     2.243410790e+05     1.647449150e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    69     2.255645739e+30     2.036604794e+08     1.000000000e+09     2.234444222e+05     1.649649883e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    70     2.287267484e+30     2.039321749e+08     1.000000000e+09     2.225525375e+05     1.651850617e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    71     2.318847128e+30     2.042038704e+08     1.000000000e+09     2.216653930e+05     1.654051350e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    72     2.350384782e+30     2.044755659e+08     1.000000000e+09     2.207829575e+05     1.656252084e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    73     2.381880559e+30     2.047472614e+08     1.000000000e+09     2.199051997e+05     1.658452818e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    74     2.413334569e+30     2.050189569e+08     1.000000000e+09     2.190320885e+05     1.660653551e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    75     2.444746924e+30     2.052906524e+08     1.000000000e+09     2.181635934e+05     1.662854285e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    76     2.476117733e+30     2.055623479e+08     1.000000000e+09     2.172996839e+05     1.665055018e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    77     2.507447105e+30     2.058340434e+08     1.000000000e+09     2.164403297e+05     1.667255752e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    78     2.538735151e+30     2.061057390e+08     1.000000000e+09     2.155855008e+05     1.669456485e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    79     2.569981979e+30     2.063774345e+08     1.000000000e+09     2.147351675e+05     1.671657219e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    80     2.601187698e+30     2.066491300e+08     1.000000000e+09     2.138893003e+05     1.673857953e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    81     2.632352416e+30     2.069208255e+08     1.000000000e+09     2.130478700e+05     1.676058686e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    82     2.663476240e+30     2.071925210e+08     1.000000000e+09     2.122108473e+05     1.678259420e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    83     2.694559277e+30     2.074642165e+08     1.000000000e+09     2.113782036e+05     1.680460153e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    84     2.725601635e+30     2.077359120e+08     1.000000000e+09     2.105499102e+05     1.682660887e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    85     2.756603419e+30     2.080076075e+08     1.000000000e+09     2.097259388e+05     1.684861621e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    86     2.787564735e+30     2.082793030e+08     1.000000000e+09     2.089062611e+05     1.687062354e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    87     2.818485690e+30     2.085509985e+08     1.000000000e+09     2.080908494e+05     1.689263088e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    88     2.849366387e+30     2.088226940e+08     1.000000000e+09     2.072796757e+05     1.691463821e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    89     2.880206933e+30     2.090943895e+08     1.000000000e+09     2.064727128e+05     1.693664555e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    90     2.911007430e+30     2.093660850e+08     1.000000000e+09     2.056699332e+05     1.695865288e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    91     2.941767984e+30     2.096377805e+08     1.000000000e+09     2.048713099e+05     1.698066022e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    92     2.972488697e+30     2.099094760e+08     1.000000000e+09     2.040768160e+05     1.700266756e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    93     3.003169672e+30     2.101811715e+08     1.000000000e+09     2.032864249e+05     1.702467489e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    94     3.033811013e+30     2.104528670e+08     1.000000000e+09     2.025001101e+05     1.704668223e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    95     3.064412820e+30     2.107245625e+08     1.000000000e+09     2.017178454e+05     1.706868956e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    96     3.094975198e+30     2.109962580e+08     1.000000000e+09     2.009396047e+05     1.709069690e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    97     3.125498246e+30     2.112679535e+08     1.000000000e+09     2.001653623e+05     1.711270423e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    98     3.155982065e+30     2.115396490e+08     1.000000000e+09     1.993950923e+05     1.713471157e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    99     3.186426758e+30     2.118113445e+08     1.000000000e+09     1.986287695e+05     1.715671891e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   100     3.216832423e+30     2.120830400e+08     1.000000000e+09     1.978663686e+05     1.717872624e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   101     3.247199161e+30     2.123547355e+08     1.000000000e+09     1.971078644e+05     1.720073358e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   102     3.277527072e+30     2.126264310e+08     1.000000000e+09     1.963532322e+05     1.722274091e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   103     3.307816253e+30     2.128981265e+08     1.000000000e+09     1.956024472e+05     1.724474825e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   104     3.338066806e+30     2.131698220e+08     1.000000000e+09     1.948554850e+05     1.726675559e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
