#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     3.333333333e+08     1.000000000e+09     1.838388528e+05     1.500000000e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     2     5.704166031e+28     3.335556297e+08     1.000000000e+09     1.834715425e+05     1.501000333e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     3     1.140453182e+29     3.337779260e+08     1.000000000e+09     1.831052101e+05     1.502000667e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     4     1.710110242e+29     3.340002223e+08     1.000000000e+09     1.827398522e+05     1.503001000e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     5     2.279388289e+29     3.342225186e+08     1.000000000e+09     1.823754658e+05     1.504001334e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     6     2.848287827e+29     3.344448149e+08     1.000000000e+09     1.820120475e+05     1.505001667e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     7     3.416809358e+29     3.346671113e+08     1.000000000e+09     1.816495942e+05     1.506002001e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     8     3.984953385e+29     3.348894076e+08     1.000000000e+09     1.812881025e+05     1.507002334e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
     9     4.552720408e+29     3.351117039e+08     1.000000000e+09     1.809275695e+05     1.508002668e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    10     5.120110929e+29     3.353340002e+08     1.000000000e+09     1.805679918e+05     1.509003001e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    11     5.687125444e+29     3.355562965e+08     1.000000000e+09     1.802093663e+05     1.510003334e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    12     6.253764454e+29     3.357785929e+08     1.000000000e+09     1.798516898e+05     1.511003668e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    13     6.820028454e+29     3.360008892e+08     1.000000000e+09     1.794949593e+05     1.512004001e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    14     7.385917941e+29     3.362231855e+08     1.000000000e+09     1.791391716e+05     1.513004335e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    15     7.951433410e+29     3.364454818e+08     1.000000000e+09     1.787843235e+05     1.514004668e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    16     8.516575354e+29     3.366677781e+08     1.000000000e+09     1.784304121e+05     1.515005002e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    17     9.081344268e+29     3.368900745e+08     1.000000000e+09     1.780774341e+05     1.516005335e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    18     9.645740643e+29     3.371123708e+08     1.000000000e+09     1.777253866e+05     1.517005669e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    19     1.020976497e+30     3.373346671e+08     1.000000000e+09     1.773742664e+05     1.518006002e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    20     1.077341774e+30     3.375569634e+08     1.000000000e+09     1.770240705e+05     1.519006335e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    21     1.133669944e+30     3.377792598e+08     1.000000000e+09     1.766747959e+05     1.520006669e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    22     1.189961056e+30     3.380015561e+08     1.000000000e+09     1.763264395e+05     1.521007002e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    23     1.246215159e+30     3.382238524e+08     1.000000000e+09     1.759789983e+05     1.522007336e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    24     1.302432301e+30     3.384461487e+08     1.000000000e+09     1.756324694e+05     1.523007669e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    25     1.358612531e+30     3.386684450e+08     1.000000000e+09     1.752868497e+05     1.524008003e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    26     1.414755898e+30     3.388907414e+08     1.000000000e+09     1.749421362e+05     1.525008336e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    27     1.470862449e+30     3.391130377e+08     1.000000000e+09     1.745983260e+05     1.526008670e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    28     1.526932233e+30     3.393353340e+08     1.000000000e+09     1.742554161e+05     1.527009003e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    29     1.582965298e+30     3.395576303e+08     1.000000000e+09     1.739134036e+05     1.528009336e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    30     1.638961692e+30     3.397799266e+08     1.000000000e+09     1.735722856e+05     1.529009670e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    31     1.694921463e+30     3.400022230e+08     1.000000000e+09     1.732320591e+05     1.530010003e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    32     1.750844659e+30     3.402245193e+08     1.000000000e+09     1.728927211e+05     1.531010337e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    33     1.806731329e+30     3.404468156e+08     1.000000000e+09     1.725542689e+05     1.532010670e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    34     1.862581518e+30     3.406691119e+08     1.000000000e+09     1.722166995e+05     1.533011004e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    35     1.918395276e+30     3.408914082e+08     1.000000000e+09     1.718800101e+05     1.534011337e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    36     1.974172649e+30     3.411137046e+08     1.000000000e+09     1.715441977e+05     1.535011671e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    37     2.029913685e+30     3.413360009e+08     1.000000000e+09     1.712092596e+05     1.536012004e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    38     2.085618431e+30     3.415582972e+08     1.000000000e+09     1.708751928e+05     1.537012337e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    39     2.141286935e+30     3.417805935e+08     1.000000000e+09     1.705419946e+05     1.538012671e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    40     2.196919243e+30     3.420028899e+08     1.000000000e+09     1.702096622e+05     1.539013004e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    41     2.252515403e+30     3.422251862e+08     1.000000000e+09     1.698781926e+05     1.540013338e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    42     2.308075462e+30     3.424474825e+08     1.000000000e+09     1.695475832e+05     1.541013671e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    43     2.363599466e+30     3.426697788e+08     1.000000000e+09     1.692178311e+05     1.542014005e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    44     2.419087462e+30     3.428920751e+08     1.000000000e+09     1.688889335e+05     1.543014338e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    45     2.474539498e+30     3.431143715e+08     1.000000000e+09     1.685608878e+05     1.544014672e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    46     2.529955618e+30     3.433366678e+08     1.000000000e+09     1.682336911e+05     1.545015005e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    47     2.585335871e+30     3.435589641e+08     1.000000000e+09     1.679073407e+05     1.546015338e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    48     2.640680302e+30     3.437812604e+08     1.000000000e+09     1.675818338e+05     1.547015672e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    49     2.695988957e+30     3.440035567e+08     1.000000000e+09     1.672571677e+05     1.548016005e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
    50     2.751261884e+30     3.442258531e+08     1.000000000e+09     1.669333398e+05     1.549016339e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
