#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
     1     0.000000000e+00     3.571428571e+08     1.000000000e+09     3.393262843e+04     1.500000000e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     2     1.165518071e+28     3.573572143e+08     1.000000000e+09     3.387160260e+04     1.500900300e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     3     2.330337228e+28     3.575715715e+08     1.000000000e+09     3.381072302e+04     1.501800600e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     4     3.494458307e+28     3.577859286e+08     1.000000000e+09     3.374998925e+04     1.502700900e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     5     4.657882146e+28     3.580002858e+08     1.000000000e+09     3.368940086e+04     1.503601200e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     6     5.820609578e+28     3.582146430e+08     1.000000000e+09     3.362895740e+04     1.504501501e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     7     6.982641437e+28     3.584290001e+08     1.000000000e+09     3.356865844e+04     1.505401801e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     8     8.143978556e+28     3.586433573e+08     1.000000000e+09     3.350850356e+04     1.506302101e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
     9     9.304621763e+28     3.588577145e+08     1.000000000e+09     3.344849233e+04     1.507202401e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    10     1.046457189e+29     3.590720716e+08     1.000000000e+09     3.338862431e+04     1.508102701e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    11     1.162382976e+29     3.592864288e+08     1.000000000e+09     3.332889908e+04     1.509003001e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    12     1.278239620e+29     3.595007860e+08     1.000000000e+09     3.326931621e+04     1.509903301e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    13     1.394027203e+29     3.597151431e+08     1.000000000e+09     3.320987528e+04     1.510803601e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    14     1.509745809e+29     3.599295003e+08     1.000000000e+09     3.315057587e+04     1.511703901e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    15     1.625395518e+29     3.601438575e+08     1.000000000e+09     3.309141755e+04     1.512604201e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    16     1.740976413e+29     3.603582146e+08     1.000000000e+09     3.303239991e+04     1.513504502e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    17     1.856488576e+29     3.605725718e+08     1.000000000e+09     3.297352253e+04     1.514404802e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    18     1.971932089e+29     3.607869290e+08     1.000000000e+09     3.291478499e+04     1.515305102e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    19     2.087307032e+29     3.610012861e+08     1.000000000e+09     3.285618687e+04     1.516205402e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    20     2.202613488e+29     3.612156433e+08     1.000000000e+09     3.279772777e+04     1.517105702e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    21     2.317851537e+29     3.614300005e+08     1.000000000e+09     3.273940728e+04     1.518006002e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    22     2.433021262e+29     3.616443576e+08     1.000000000e+09     3.268122497e+04     1.518906302e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    23     2.548122742e+29     3.618587148e+08     1.000000000e+09     3.262318044e+04     1.519806602e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    24     2.663156058e+29     3.620730720e+08     1.000000000e+09     3.256527329e+04     1.520706902e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    25     2.778121292e+29     3.622874291e+08     1.000000000e+09     3.250750311e+04     1.521607202e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    26     2.893018524e+29     3.625017863e+08     1.000000000e+09     3.244986949e+04     1.522507503e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    27     3.007847834e+29     3.627161435e+08     1.000000000e+09     3.239237203e+04     1.523407803e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    28     3.122609302e+29     3.629305006e+08     1.000000000e+09     3.233501033e+04     1.524308103e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    29     3.237303009e+29     3.631448578e+08     1.000000000e+09     3.227778399e+04     1.525208403e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    30     3.351929035e+29     3.633592150e+08     1.000000000e+09     3.222069261e+04     1.526108703e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    31     3.466487459e+29     3.635735721e+08     1.000000000e+09     3.216373579e+04     1.527009003e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    32     3.580978361e+29     3.637879293e+08     1.000000000e+09     3.210691313e+04     1.527909303e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    33     3.695401821e+29     3.640022865e+08     1.000000000e+09     3.205022424e+04     1.528809603e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    34     3.809757918e+29     3.642166436e+08     1.000000000e+09     3.199366873e+04     1.529709903e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    35     3.924046731e+29     3.644310008e+08     1.000000000e+09     3.193724621e+04     1.530610203e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    36     4.038268339e+29     3.646453580e+08     1.000000000e+09     3.188095628e+04     1.531510504e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    37     4.152422822e+29     3.648597151e+08     1.000000000e+09     3.182479855e+04     1.532410804e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    38     4.266510258e+29     3.650740723e+08     1.000000000e+09     3.176877264e+04     1.533311104e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    39     4.380530726e+29     3.652884295e+08     1.000000000e+09     3.171287816e+04     1.534211404e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    40     4.494484305e+29     3.655027866e+08     1.000000000e+09     3.165711473e+04     1.535111704e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    41     4.608371073e+29     3.657171438e+08     1.000000000e+09     3.160148196e+04     1.536012004e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    42     4.722191108e+29     3.659315010e+08     1.000000000e+09     3.154597947e+04     1.536912304e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    43     4.835944489e+29     3.661458581e+08     1.000000000e+09     3.149060687e+04     1.537812604e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    44     4.949631293e+29     3.663602153e+08     1.000000000e+09     3.143536380e+04     1.538712904e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    45     5.063251598e+29     3.665745725e+08     1.000000000e+09     3.138024986e+04     1.539613204e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    46     5.176805482e+29     3.667889296e+08     1.000000000e+09     3.132526469e+04     1.540513505e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    47     5.290293024e+29     3.670032868e+08     1.000000000e+09     3.127040790e+04     1.541413805e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    48     5.403714299e+29     3.672176440e+08     1.000000000e+09     3.121567912e+04     1.542314105e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    49     5.517069386e+29     3.674320011e+08     1.000000000e+09     3.116107799e+04     1.543214405e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    50     5.630358362e+29     3.676463583e+08     1.000000000e+09     3.110660412e+04     1.544114705e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    51     5.743581303e+29     3.678607155e+08     1.000000000e+09     3.105225714e+04     1.545015005e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    52     5.856738287e+29     3.680750726e+08     1.000000000e+09     3.099803670e+04     1.545915305e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    53     5.969829391e+29     3.682894298e+08     1.000000000e+09     3.094394241e+04     1.546815605e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    54     6.082854691e+29     3.685037870e+08     1.000000000e+09     3.088997392e+04     1.547715905e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    55     6.195814264e+29     3.687181441e+08     1.000000000e+09     3.083613085e+04     1.548616205e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    56     6.308708186e+29     3.689325013e+08     1.000000000e+09     3.078241285e+04     1.549516506e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    57     6.421536533e+29     3.691468585e+08     1.000000000e+09     3.072881954e+04     1.550416806e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    58     6.534299382e+29     3.693612156e+08     1.000000000e+09     3.067535058e+04     1.551317106e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    59     6.646996809e+29     3.695755728e+08     1.000000000e+09     3.062200559e+04     1.552217406e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    60     6.759628888e+29     3.697899300e+08     1.000000000e+09     3.056878422e+04     1.553117706e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    61     6.872195697e+29     3.700042871e+08     1.000000000e+09     3.051568611e+04     1.554018006e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    62     6.984697311e+29     3.702186443e+08     1.000000000e+09     3.046271091e+04     1.554918306e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    63     7.097133805e+29     3.704330015e+08     1.000000000e+09     3.040985825e+04     1.555818606e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
    64     7.209505255e+29     3.706473586e+08     1.000000000e+09     3.035712779e+04     1.556718906e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
